X @ L
X L L;L L X;L L L;@ L L
M M X;X M M;M M M
X X M;M X X;X X L;L X X;X X @;@ X X
a;X X @;X @ L;@ L L;X M L
v;L L L;L L X;L X X;L L X
v;L L L;L L L;L L X;L L L
v;L L L;L L L;L L L;L L L
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;X @ L;@ L L;L L L;M L L
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;X X M;X M L;M L L;X M C
M C M;X X M;X M C;M C M;X M M
M C L;X X M;X M C;M C L;X M C
M C Q;X X M;X M C;M C Q;X M M
M C C;X X M;X M C;M C C;X M C
M C R;X X M;X M C;M C R;X M C
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;X M L;M L L;L L X;M C L
v;X X M;X M C;M C L;X M C
v;X M L;M L L;L L L;M C L
M C M;X X M;X M C;M C M;X M M
M C Q;X X M;X M C;M C Q;X M M
L M L;L M L;M L L;L L L;M C L
M C C;X X M;X M C;M C C;X M C
M C R;X X M;X M C;M C R;X M C
M M L;M M L;M L L;L L L;M C L
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;M L L;L L X;L X X;C L X
C L L;C L L;L L X;L X X;C L X
M C M;X X M;X M C;M C M;X M M
M C Q;X X M;X M C;M C Q;X M M
L M L;L M L;M L L;L L L;M C L
M C C;X X M;X M C;M C C;X M C
M C R;X X M;X M C;M C R;X M C
M M L;M M L;M L L;L L L;M C L
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;X M C;M C L;C L X;M C M
v;X X M;X M C;M C M;X M M
C L L;C L L;L L X;L X X;C L X
C M M;X M C;M C M;C M M;M M M
C M Q;X M C;M C M;C M Q;M M M
M C Q;X X M;X M C;M C Q;X M M
L M L;L M L;M L L;L L L;M C L
M C C;X X M;X M C;M C C;X M C
M C R;X X M;X M C;M C R;X M C
M M L;M M L;M L L;L L L;M C L
C M X;X M C;M C M;C M X;M M M
C M X;M C M;C M X;M X X;M M X
L L Q;L L L;L L L;L L Q;L L L
L L A;L L L;L L L;L L A;L L L
Q L L;Q L L;L L L;L L L;L L L
a;M C L;C L X;L X X;C M X
v;X M C;M C M;C M X;M M M
v;M C M;C M X;M X X;M M X
C L L;C L L;L L X;L X X;C L X
C M M;X M C;M C M;C M M;M M M
C M Q;X M C;M C M;C M Q;M M M
