* @ -
* - -;- - *;- - -;@ - -
G G G;* G G;G G *
* * G;G * *;* * -;- * *;* * @;@ * *
a;* * @;* @ -;@ - -;* G -
v;- - -;- - *;- * *;- - *
v;- - -;- - -;- - *;- - -
v;- - -;- - -;- - -;- - -
x - -;x - -;- - -;- - -;- - -
- - x;- - -;- - -;- - x;- - -
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
o - -;o - -;- - -;- - -;- - -
a;* @ -;@ - -;- - -;G - -
x - -;x - -;- - -;- - -;- - -
- - x;- - -;- - -;- - x;- - -
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
o - -;o - -;- - -;- - -;- - -
a;* * G;* G -;G - -;* G <
x - -;x - -;- - -;- - -;- - -
- - x;- - -;- - -;- - x;- - -
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
o - -;o - -;- - -;- - -;- - -
a;* G -;G - -;- - *;G < -
v;* G -;G - -;- - -;G < -
. G -;. G -;G - -;- - -;G < -
x - -;x - -;- - -;- - -;- - -
- - x;- - -;- - -;- - x;- - -
G G -;G G -;G - -;- - -;G < -
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
o - -;o - -;- - -;- - -;- - -
a;G - -;- - *;- * *;< - *
. G -;. G -;G - -;- - -;G < -
x - -;x - -;- - -;- - -;- - -
- - x;- - -;- - -;- - x;- - -
G G -;G G -;G - -;- - -;G < -
< - -;< - -;- - *;- * *;< - *
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
o - -;o - -;- - -;- - -;- - -
a;* * G;* G <;G < -;* G .
. G -;. G -;G - -;- - -;G < -
x - -;x - -;- - -;- - -;- - -
G . o;* * G;* G .;G . o;* G .
- - x;- - -;- - -;- - x;- - -
G G -;G G -;G - -;- - -;G < -
< - -;< - -;- - *;- * *;< - *
- - o;- - -;- - -;- - o;- - -
- - >;- - -;- - -;- - >;- - -
G . x;* * G;* G .;G . x;* G .
G . G;* * G;* G .;G . G;* G G
o - -;o - -;- - -;- - -;- - -
a;* G <;G < -;< - *;G . G
v;* * G;* G .;G . G;* G G
. G -;* G .;G . G;. G -;G G G
. G -;. G -;G - -;- - -;G < -
x - -;x - -;- - -;- - -;- - -
G . o;* * G;* G .;G . o;* G .
- - x;- - -;- - -;- - x;- - -
G G -;G G -;G - -;- - -;G < -
< - -;< - -;- - *;- * *;< - *
- - o;- - -;- - -;- - o;- - -
. G G;* G .;G . G;. G G;G G G
- - >;- - -;- - -;- - >;- - -
. G *;* G .;G . G;. G *;G G G
. G *;G . G;. G *;G * *;G G *
G . x;* * G;* G .;G . x;* G .
